brokered_by,status,price,bed,bath,acre_lot,street,city,state,postal_code,house_size,prev_sold_date,city_te
48310.0,for_sale,225000,4,2,0.24,871278.0,Copake,New York,12521.0,1239,2018-02-01,372566.93
32016.0,for_sale,375000,3,2,1.2,1427842.0,Millerton,New York,12546.0,1350,2018-08-31,298882.86
26779.0,for_sale,194900,4,3,1.29,1431678.0,Nassau,New York,12123.0,2274,,259020.0
10211.0,for_sale,40000,2,1,0.2,1202236.0,Nassau,New York,12123.0,690,2005-12-01,259020.0
10368.0,for_sale,125000,3,2,1.0,1531619.0,Hoosick Falls,New York,12090.0,980,,194095.79
38575.0,for_sale,299900,3,1,0.32,330084.0,Niverville,New York,12130.0,1608,,317118.47
26848.0,for_sale,379500,4,3,0.28,1567871.0,Philmont,New York,12565.0,2080,,340009.34
38575.0,for_sale,299900,3,1,0.32,330084.0,Kinderhook,New York,12106.0,1608,,368208.57
27628.0,for_sale,61900,3,2,0.2,871535.0,Berlin,New York,12090.0,1344,,278521.26
10368.0,for_sale,123000,3,1,1.45,1743456.0,Stephentown,New York,12168.0,1386,,281271.26
27628.0,for_sale,92500,3,2,1.0,439188.0,Hoosick,New York,12028.0,1056,,266877.51
16818.0,for_sale,245000,3,2,0.49,170597.0,Austerlitz,New York,12958.0,1302,,349502.67
23402.0,for_sale,245000,3,2,0.49,170592.0,Austerlitz,New York,12017.0,1302,,349502.67
21935.0,for_sale,625000,2,2,1.5,148013.0,Austerlitz,New York,12017.0,1834,,349502.67
10368.0,for_sale,339000,4,5,0.51,1310371.0,New Lebanon,New York,12125.0,3133,2019-09-11,263693.6
38575.0,for_sale,369900,3,2,0.65,1724811.0,Canaan,New York,12029.0,1600,2020-05-07,341461.67
32016.0,for_sale,159000,3,1,0.38,1468522.0,Millerton,New York,12546.0,1656,2009-08-03,298882.86
45690.0,for_sale,254900,2,1,0.29,1745926.0,Berlin,New York,12153.0,1163,,278521.26
38575.0,for_sale,49900,2,1,0.13,179494.0,Schodack Landing,New York,12123.0,1200,1993-06-01,303073.13
22550.0,for_sale,277000,4,3,0.33,117964.0,Chatham Village,New York,12037.0,2250,2022-01-13,341340.01
10368.0,for_sale,199000,5,2,1.5,1669113.0,New Lebanon,New York,12125.0,2360,2002-06-17,263693.6
10368.0,for_sale,159900,3,2,0.23,822689.0,Hoosick,New York,12090.0,2400,2009-06-16,266877.51
10368.0,for_sale,144900,2,1,1.1,102297.0,White Creek,New York,12057.0,2780,,295117.15
10368.0,for_sale,215000,4,3,1.0,1577704.0,New Lebanon,New York,12125.0,2148,,263693.6
22552.0,for_sale,49000,3,1,0.39,1757679.0,Hoosick Falls,New York,12090.0,1161,,194095.79
75667.0,for_sale,299000,3,2,1.1,516432.0,Ghent,New York,12075.0,1748,,346110.87
75667.0,for_sale,450000,2,1,0.38,225676.0,East Chatham,New York,12060.0,1200,,357067.28
52569.0,for_sale,169000,3,1,0.14,1079249.0,Valatie,New York,12184.0,2313,2005-11-22,315574.62
54255.0,for_sale,265000,3,2,0.53,458985.0,New Lebanon,New York,12125.0,2250,2002-05-08,263693.6
74021.0,for_sale,122750,4,2,0.13,1568175.0,Hoosick Falls,New York,12090.0,1978,2018-06-01,194095.79
99515.0,for_sale,164900,3,1,1.0,986450.0,Stephentown,New York,12169.0,1845,2007-04-19,281271.26
